"run","SampleID","Input","No Dimers","Amplicons","OutputDada2","OutputPostprocessing","perc_amplicons","group"
"M10","M10_HT07032012-02",339873,137077,134407,115088,115088,0.39546242272849,"Sample"
"M05","M05_HAM16-149-D0",3317455,1325531,1310957,1113535,1113535,0.395169489864972,"Sample"
"M08","M08_HAM14-019-D0",173101,69394,68121,57677,57677,0.393533255151617,"Sample"
"M15","M15_HAM15-681-D0",104631,41720,40930,33878,33878,0.391184257055748,"Sample"
"M09","M09_HAM14-144-D0",252811,100794,98550,83842,83842,0.389816898790005,"Sample"
"M06","M06_HAM16-314-D0",393136,152413,151588,125209,125209,0.385586667209312,"Sample"
"M07","M07_HAM15-083-D0",147571,57569,56824,48763,48763,0.385062105698274,"Sample"
"M06","M06_HAM16-469-D0",3346557,1300335,1279528,1036799,1036799,0.382341612588699,"Sample"
"M15","M15_HAM16-515-D0",46067,17729,17544,14677,14677,0.380836607549873,"Sample"
"M13","M13_HAM14-045-D0",133245,52524,50684,41004,41003,0.380382003077039,"Sample"
"M13","M13_HAM16-063-D0",165254,63367,62712,52671,52671,0.379488544906629,"Sample"
"NS2","NS2_MH-13-AC_HT12052011-8",2463917,932310,927531,773446,773446,0.376445716312684,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000712",8,3,3,3,3,0.375,"Sample"
"NS2","NS2_MH-13-AC_HT04022011-7",1953250,736531,728021,599915,599909,0.372722897734545,"Sample"
"NS2","NS2_MH-04-AC_PC1K",307945,115139,114218,96119,96119,0.370903895176087,"PC"
"M15","M15_HAM15-033-D0",582205,217716,214931,177438,177438,0.369167217732586,"Sample"
"M10","M10_HT06032012-09",191944,72273,70787,60704,60704,0.368789855374484,"Sample"
"M13","M13_HT07072012-05",611,225,222,175,175,0.363338788870704,"Sample"
"M06","M06_HAM16-012-D0",3073027,1138737,1116305,909452,909452,0.363259092744711,"Sample"
"M05","M05_HAM16-185-D0",155,57,56,44,44,0.361290322580645,"Sample"
"M08","M08_HAM14-006-D0",312340,114372,112198,94871,94871,0.359217519369917,"Sample"
"M06","M06_HAM16-066-D0",3111586,1135537,1116744,899054,899054,0.358898645256792,"Sample"
"M08","M08_HAM15-301-D0",477883,175419,171244,145824,145824,0.358338756557567,"Sample"
"NS1","NS1_MH-03-AC_HAM15-000612",551900,205467,195128,123080,123024,0.353556803768799,"Sample"
"NS2","NS2_MH-13-AC_HT19052012-7",1976180,708114,694400,589304,589304,0.351384995293951,"Sample"
"M06","M06_HAM16-396-D0",622400,219818,218685,178822,178822,0.35135764781491,"Sample"
"M15","M15_HAM16-311-D0",2772,998,972,653,653,0.350649350649351,"Sample"
"M07","M07_HAM15-023-D0",22956,8236,8045,6732,6732,0.350453040599408,"Sample"
"M07","M07_HAM16-248-D0",176496,62779,61707,51514,51514,0.349622654337775,"Sample"
"M15","M15_HAM15-089-D0",625,226,217,175,175,0.3472,"Sample"
"M08","M08_PC2",94762,33585,32845,27905,27905,0.346605179291277,"PC"
"M07","M07_HAM16-382-D0",233552,81649,80840,68794,68794,0.346132767006919,"Sample"
"NS2","NS2_MH-09-AC_HT19112012-4",10824,3783,3730,2867,2867,0.34460458240946,"Sample"
"NS2","NS2_MH-05-AC_HAM14-000233",79235,27377,27252,23236,23236,0.343938915883132,"Sample"
"M07","M07_HAM16-096-D0",141078,49174,47770,40964,40964,0.338607011724011,"Sample"
"NS2","NS2_MH-13-AC_HT14122012-9",2583804,878633,872939,726685,726685,0.337850316819697,"Sample"
"M15","M15_HAM14-016-D0",471486,162549,159234,129738,129738,0.337727949504333,"Sample"
"NS2","NS2_MH-13-AC_HT08122012-1",1857623,630479,624440,523356,523348,0.336150015369103,"Sample"
"NS2","NS2_MH-11-AC_HT02072010-1",229516,77927,77112,62896,62896,0.335976576796389,"Sample"
"NS2","NS2_MH-13-AC_HT22032011-2",2290555,770780,765655,627188,627188,0.334266149470325,"Sample"
"M08","M08_HAM15-462-D0",245829,84129,82153,69699,69699,0.334187585679476,"Sample"
"M11","M11_HT07042010-03",182335,62689,60916,51305,51305,0.33408835385417,"Sample"
"M10","M10_HT11052012-01",358673,122244,119369,102183,102183,0.332807320316835,"Sample"
"M07","M07_HAM15-037-D0",179959,60966,59701,51132,51132,0.331747786995927,"Sample"
"NS2","NS2_MH-13-AC_HT05042011-1",1633095,545106,541324,453010,453003,0.331471224882815,"Sample"
"NS2","NS2_MH-13-AC_HT30082010-2",2714464,901875,896609,749021,749020,0.330307935562969,"Sample"
"NS2","NS2_MH-13-AC_HT06072011-2",2706395,894210,887748,738794,738794,0.3280186373386,"Sample"
"NS2","NS2_MH-13-AC_HT15122011-9",1735297,576562,568430,464441,464441,0.327569286410338,"Sample"
"M15","M15_HT29122012-07",536,178,175,141,141,0.326492537313433,"Sample"
"M06","M06_HAM16-013-D0",3264848,1083388,1063339,861471,861471,0.325693263514871,"Sample"
"M14","M14_HAM14-141-D0",37019,12297,11971,9944,9944,0.323374483373403,"Sample"
"M06","M06_HAM16-010-D0",2890966,936714,918284,739364,739364,0.31763915590844,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000696",51,16,16,13,13,0.313725490196078,"Sample"
"M05","M05_HAM16-373-D0",351,111,110,85,85,0.313390313390313,"Sample"
"M12","M12_NC1",1609,515,504,384,384,0.313238036047234,"NC"
"M10","M10_HT10032012-15",4403,1412,1374,1132,1132,0.312059959118783,"Sample"
"M08","M08_HAM15-112-D0",176356,56411,55000,46650,46650,0.3118691737168,"Sample"
"M07","M07_HAM15-044-D0",109499,34821,34149,28523,28523,0.311865861788692,"Sample"
"NS2","NS2_MH-13-AC_HT08092012-1",1670046,523075,519394,430422,430422,0.311005804630531,"Sample"
"NS1","NS1_MH-03-AC_PC1K",82478,25897,25578,22030,22030,0.310119062052911,"PC"
"M13","M13_NC7",53967,16813,16582,11912,11912,0.307261845201697,"NC"
"NS2","NS2_MH-13-AC_HT16112010-1",2101688,651862,645125,532939,532939,0.306955647079871,"Sample"
"M11","M11_HT16032010-05",310481,99646,94913,78319,78319,0.305696644883262,"Sample"
"M13","M13_HAM15-102-D0",130007,40255,39679,33204,33204,0.305206642719238,"Sample"
"M13","M13_HAM15-089-D0",90861,27633,27317,23004,23004,0.300646041756089,"Sample"
"NS2","NS2_MH-13-AC_HT03052012-4",2775559,837594,830838,685541,685536,0.299340781442585,"Sample"
"M06","M06_HAM16-135-D0",748542,227933,223904,175091,175091,0.299120156250417,"Sample"
"NS2","NS2_MH-13-AC_HT08052011-5",2647153,788211,775292,653655,653655,0.292877668952267,"Sample"
"M06","M06_HAM16-039-D0",3724499,1095059,1067846,856669,856669,0.286708628462513,"Sample"
"NS2","NS2_MH-13-AC_HT20072012-9",2246516,643907,638972,525110,525110,0.284427976475574,"Sample"
"M06","M06_HAM16-030-D0",3968519,1152868,1125777,908469,908469,0.283676857790022,"Sample"
"M12","M12_HT14122012-11",755,224,214,171,171,0.283443708609272,"Sample"
"NS2","NS2_MH-13-AC_HT26122010-2",3189713,918553,893396,749525,749516,0.280086641023816,"Sample"
"NS2","NS2_MH-13-AC_HT18022011-4",1690267,476652,471893,385338,385338,0.27918251968476,"Sample"
"M12","M12_HT21072012-02",98473,28115,27365,22845,22845,0.277893432717598,"Sample"
"NS2","NS2_MH-04-AC_HAM14-000514",83245,23400,23085,19817,19817,0.277313952789957,"Sample"
"NS2","NS2_MH-13-AC_HT03032011-1",2634967,734976,721562,600214,600197,0.273841000665283,"Sample"
"NS2","NS2_MH-13-AC_HT16052011-1",2804370,765055,758539,628017,628005,0.270484636478068,"Sample"
"NS2","NS2_MH-13-AC_HT11122012-3",2976295,817712,804181,625629,625629,0.270195326740125,"Sample"
"NS1","NS1_MH-03-AC_HAM15-000548",276508,77350,74601,59967,59967,0.269796895569025,"Sample"
"NS2","NS2_MH-05-AC_HAM14-000392",97431,26561,25974,21834,21834,0.266588662745943,"Sample"
"NS2","NS2_MH-05-AC_HAM14-000581",69581,18748,18279,12110,12089,0.26270102470502,"Sample"
"NS2","NS2_MH-13-AC_HT28072012-3",1986077,518716,513796,424920,424913,0.25869893261943,"Sample"
"NS2","NS2_MH-13-AC_HT29092010-2",2621165,682780,677918,555668,555668,0.258632325702502,"Sample"
"M15","M15_HT07072012-06",83,22,21,16,16,0.253012048192771,"Sample"
"NS2","NS2_MH-13-AC_HT16032011-3",1402461,360103,353191,294105,294105,0.251836592960517,"Sample"
"M09","M09_HT11012013-07",2654,700,667,491,491,0.251318764129616,"Sample"
"NS2","NS2_MH-13-AC_HT08072011-5",1713881,432046,427969,346792,346792,0.249707535120583,"Sample"
"M07","M07_HAM15-110-D0",229464,58131,57057,47403,47403,0.248653383537287,"Sample"
"M12","M12_HAM15-290-D0",185220,47000,45808,39066,39066,0.247316704459562,"Sample"
"NS2","NS2_MH-13-AC_HT03012011-3",2560975,636699,616886,515723,515723,0.240879352590322,"Sample"
"M15","M15_HT04072012-22",289939,71120,69435,56952,56952,0.239481408158268,"Sample"
"M10","M10_PC3",325563,80217,77169,65842,65842,0.237032463762774,"PC"
"NS2","NS2_MH-13-AC_HT16122011-3",2478344,591604,585295,481116,481115,0.236163744823156,"Sample"
"NS1","NS1_MH-02-AC_HAM15-000707",195,47,46,38,38,0.235897435897436,"Sample"
"NS2","NS2_MH-13-AC_HT03112012-2",2794530,663851,656865,541594,541578,0.235053837317903,"Sample"
"M06","M06_HAM16-290-D0",141370,33369,33077,26668,26668,0.233974676381128,"Sample"
"NS2","NS2_MH-03-AC_2007-15",1569,394,356,260,260,0.226896112173359,"Sample"
"NS2","NS2_MH-13-AC_HT16022011-2",1456895,322089,318297,262073,262073,0.218476280033908,"Sample"
"M10","M10_NC7",505695,114263,108945,94189,94189,0.215436181888292,"NC"
"M07","M07_HAM16-194-D0",630801,142441,135756,112312,112312,0.215212087488764,"Sample"
"M08","M08_HAM16-110-D0",63696,14080,13513,11380,11380,0.212148329565436,"Sample"
"M13","M13_NC2",212621,46111,44252,32059,32059,0.208126196377592,"NC"
"M06","M06_HAM16-082-D0",415353,87861,85624,65666,65666,0.206147541970324,"Sample"
"M06","M06_HAM16-101-D0",436099,90947,88496,69540,69540,0.202926399739509,"Sample"
"M08","M08_PC1",278970,58794,56487,47900,47900,0.202484138079363,"PC"
"NS2","NS2_MH-13-AC_HT05022011-2",749424,153598,149325,115465,115465,0.199253026324217,"Sample"
"NS2","NS2_MH-13-AC_HT22022011-1",1871529,378761,364063,297674,297674,0.194527041793101,"Sample"
"M15","M15_HAM16-063-D0",128926,25960,24907,20023,20023,0.193188340598483,"Sample"
"M13","M13_NC6",152390,30329,29249,21474,21474,0.191935166349498,"NC"
"NS2","NS2_MH-13-AC_HT04042011-7",2978246,579356,570753,462171,462164,0.191640650235071,"Sample"
"M15","M15_HT21012013-08",388,78,72,52,52,0.185567010309278,"Sample"
"M13","M13_NC1",201467,37907,36920,29956,29956,0.183255818570783,"NC"
"NS2","NS2_MH-13-AC_HT21052010-6",2575600,479261,471291,385129,385129,0.182982994253766,"Sample"
"NS2","NS2_MH-13-AC_PC1K",1655841,309471,301745,245005,245005,0.182230661035691,"PC"
"NS2","NS2_MH-13-AC_HT05032011-4",2281629,425621,410792,335696,335696,0.180043293629245,"Sample"
"M06","M06_HAM16-016-D0",183029,34149,32952,24604,24604,0.180037043310077,"Sample"
"M06","M06_HAM16-053-D0",5528261,1043458,983220,750035,750035,0.177853397297993,"Sample"
"M12","M12_HT20072012-03",59664,10657,10281,8588,8588,0.172314963797265,"Sample"
"M13","M13_NC4",153497,26970,26122,19243,19243,0.170179221743747,"NC"
"M05","M05_HAM16-169-D0",512,88,86,62,62,0.16796875,"Sample"
"NS2","NS2_MH-13-AC_HT17052011-4",2350278,400068,389734,318564,318556,0.165824638617219,"Sample"
"NS2","NS2_MH-13-AC_HT02062011-1",3033714,496809,488472,388834,388833,0.161014518837306,"Sample"
"NS2","NS2_MH-03-AC_2007-3a",2429,411,382,287,287,0.15726636475916,"Sample"
"M06","M06_HAM16-205-D0",6337012,1047436,995308,774170,774170,0.157062666127191,"Sample"
"NS2","NS2_MH-04-AC_HAM14-000598",245,41,38,NA,NA,0.155102040816327,"Sample"
"M13","M13_HT27012013-04",60545,9341,8980,7319,7319,0.148319431827566,"Sample"
"NS1","NS1_MH-03-AC_2007-15",1337,214,195,150,150,0.145848915482423,"Sample"
"NS2","NS2_MH-04-AC_HAM14-000455",495629,76416,71453,60066,60066,0.144166301810427,"Sample"
"M15","M15_HT23022012-06",934881,142630,133705,107471,107471,0.143018202316658,"Sample"
"NS2","NS2_MH-03-AC_2007-1a",3855,613,548,399,399,0.142153047989624,"Sample"
"NS2","NS2_MH-03-AC_2007-5a",3921,589,541,385,385,0.137975006375924,"Sample"
"M14","M14_HT20072012-03",71922,10406,9721,7664,7664,0.13516031256083,"Sample"
"M13","M13_NC8",184820,25027,23705,17137,17137,0.128259928579158,"NC"
"M12","M12_HT07072012-01",50526,6673,6384,5343,5343,0.126350789692436,"Sample"
"NS2","NS2_MH-03-AC_2007-32",3983,568,484,367,367,0.121516444890786,"Sample"
"M15","M15_HT17092012-01",422,57,51,37,37,0.12085308056872,"Sample"
"NS2","NS2_MH-05-AC_HAM14-000163",24952,3131,2935,468,464,0.117625841615903,"Sample"
"NS2","NS2_MH-05-AC_HT02072013-14",55785,6630,6485,4757,4757,0.116249887962714,"Sample"
"M05","M05_HAM16-182-D0",1353,163,156,108,108,0.11529933481153,"Sample"
"NS2","NS2_MH-13-AC_HT17022011-2",2106768,250277,242285,185217,185217,0.11500317073356,"Sample"
"M12","M12_HT22122012-07",3202,392,364,286,286,0.11367895065584,"Sample"
"M14","M14_NC2",6236,771,699,546,546,0.112091084028223,"NC"
"M06","M06_HAM16-264-D0",767343,85869,81212,59981,59981,0.105835330484542,"Sample"
"NS2","NS2_MH-04-AC_HAM14-000422",351,39,37,NA,NA,0.105413105413105,"Sample"
"NS2","NS2_MH-05-AC_HT02112013-1",7663,967,803,257,257,0.104789247031189,"Sample"
"NS2","NS2_MH-13-AC_HT02122010-1",2571045,270401,263206,196337,196337,0.102373159551855,"Sample"
"NS2","NS2_MH-03-AC_2007-7a",5283,647,506,375,375,0.0957789134961196,"Sample"
"NS2","NS2_MH-13-AC_HT14042011-5",2742135,268407,262468,194666,194666,0.0957166587348909,"Sample"
"NS2","NS2_MH-13-AC_HT28022011-5",466363,45682,43509,29678,29678,0.0932942793489192,"Sample"
