sampleID,Run,Lib_plate,Lib_plate_pos,Lib_condition,qPCR_Ct,qPCR_Quantity,Type,DNA_Plate_No,Micronix,RackID,Index_plate,Lib_pool
M13_HT09012013-03,M13,P07,B01,"1A5 & 2, 20 cycles",30.89,12,DNA,NA,NA,NA,NA,NA
M09_HT09022011-04,M09,P04,C07,"1A5 & 2, 15 cycles",23.94,1351.4,DBS,NA,NA,NA,NA,NA
M09_HT09032011-04,M09,P04,E11,"1A5 & 2, 15 cycles",20.28,15273.129,DBS,NA,NA,NA,NA,NA
M14_HT09032011-04,M14,P10,B07,"1A5 & 2, 15 cycles",20.28,15273.129,DBS,NA,NA,NA,NA,NA
M11_HT09042010-01,M11,P05,G12,"1A5 & 2, 15 cycles",18.02,53664.11516,DBS,NA,NA,NA,NA,NA
M11_HT09052010-01,M11,P05,H10,"1A5 & 2, 15 cycles",21.02,12032.2918,DBS,NA,NA,NA,NA,NA
M11_HT09052010-02,M11,P05,F10,"1A5 & 2, 15 cycles",20.66,11951.3461,DBS,NA,NA,NA,NA,NA
M11_HT09052010-05,M11,P05,D08,"1A5 & 2, 15 cycles",23.27,2694,DNA,NA,NA,NA,NA,NA
M10_HT09052012-05,M10,P04,F02,"1A5 & 2, 15 cycles",22.21,4395.0443,DBS,NA,NA,NA,NA,NA
M13_HT10012013-01,M13,P07,H04,"1A5 & 2, 20 cycles",26.58,330.6,DNA,NA,NA,NA,NA,NA
M09_HT10022011-02,M09,P04,H09,"1A5 & 2, 15 cycles",21.33,6810.1,DBS,NA,NA,NA,NA,NA
M10_HT10022012-01,M10,P03,E11,"1A5 & 2, 15 cycles",20.13,14325,DBS,NA,NA,NA,NA,NA
M14_HT10022012-01,M14,P03,E11,"1A5 & 2, 15 cycles",20.13,14325,DBS,NA,NA,NA,NA,NA
M13_HT10022012-02,M13,P07,F07,"1A5 & 2, 20 cycles",31.2,14.08078338,DNA,NA,NA,NA,NA,NA
M10_HT10022012-03,M10,P03,C10,"1A5 & 2, 15 cycles",21.49,8713.0698,DBS,NA,NA,NA,NA,NA
M14_HT10022012-03,M14,P10,D08,"1A5 & 2, 15 cycles",21.49,8713.0698,DBS,NA,NA,NA,NA,NA
M13_HT10022012-05,M13,P07,B09,"1A5 & 2, 20 cycles",30.84,30.5,DNA,NA,NA,NA,NA,NA
M10_HT10032012-04,M10,P04,G06,"1A5 & 2, 15 cycles",17.46,98096.3288,DBS,NA,NA,NA,NA,NA
M10_HT10032012-13,M10,P04,G02,"1A5 & 2, 15 cycles",22,4496.3,DBS,NA,NA,NA,NA,NA
M10_HT10032012-15,M10,P04,H03,"1A5 & 2, 15 cycles",20.5,13989.3828,DBS,NA,NA,NA,NA,NA
M11_HT10062010-03,M11,P05,D12,"1A5 & 2, 15 cycles",18.74,41264.6973,DBS,NA,NA,NA,NA,NA
M15_HT10082012-02,M15,P11,D06,"1A5 & 2, 20 cycles",32.44,18.6059,DNA,NA,NA,NA,NA,NA
M13_HT10122012-02,M13,P07,D02,"1A5 & 2, 20 cycles",29.38,60.9876,DNA,NA,NA,NA,NA,NA
M03_HT11012013-03,M03,NA,NA,"1AB & 2, 10 cycles",26.68,237,DNA,NA,NA,NA,NA,NA
M12_HT11012013-03,M12,P06,C09,"1A5 & 2, 20 cycles",26.68,237,DNA,NA,NA,NA,NA,NA
M13_HT11012013-04,M13,P07,C08,"1A5 & 2, 20 cycles",30.56,20.93860602,DNA,NA,NA,NA,NA,NA
M15_HT11012013-04,M15,P11,E03,"1A5 & 2, 20 cycles",30.56,20.93860602,DNA,NA,NA,NA,NA,NA
M12_HT11012013-05,M12,P06,A08,"1A5 & 2, 20 cycles",28.27,128.4,DNA,NA,NA,NA,NA,NA
M09_HT11012013-07,M09,P03,H01,"1A5 & 2, 15 cycles",23.35,1829.156827,DNA,NA,NA,NA,NA,NA
M14_HT11012013-07,M14,P10,A07,"1A5 & 2, 15 cycles",23.35,1829.156827,DNA,NA,NA,NA,NA,NA
M09_HT11022011-02,M09,P04,G12,"1A5 & 2, 15 cycles",18.06,51657,DBS,NA,NA,NA,NA,NA
M09_HT11022011-03,M09,P04,B08,"1A5 & 2, 15 cycles",22.8,3543.7628,DBS,NA,NA,NA,NA,NA
M09_HT11022011-05,M09,P04,F07,"1A5 & 2, 15 cycles",23.18,2512.5302,DBS,NA,NA,NA,NA,NA
